,Round,Player,Dice Roll,Presents,Stolen From,Retaliation Player 1,Retaliation Player 2,Retaliation Player 3,Retaliation Player 4,Retaliation Player 5,Retaliation Player 6,Presents Count
463,77,Player 2,6,"[9, 4, 2, 7, 6]",Player 1,0,0,0,0,0,0,15
465,77,Player 4,6,"[0, 1]",None,0,0,0,0,0,0,6
472,78,Player 5,6,[],None,0,0,0,0,0,0,2
476,79,Player 3,6,[],None,0,0,0,0,0,0,2
490,81,Player 5,6,[],None,0,0,0,0,0,0,2
493,82,Player 2,6,"[9, 4, 2, 7, 6]",None,0,0,0,0,0,0,15
495,82,Player 4,6,"[0, 1]",None,0,0,0,0,0,0,6
497,82,Player 6,6,"[5, 8, 3]",None,0,0,0,0,0,0,9
498,83,Player 1,6,[7],Player 2,0,0,0,0,0,0,3
502,83,Player 5,6,[],None,0,0,0,0,0,0,2
