Niels;Daniel;Mina;Emma;Anton;Jess;Aleks;Sille;Round;t
2;0;2;1;1;2;2;2;2;138
2;0;1;1;1;2;3;2;2;139
1;1;1;1;1;2;3;2;2;140
1;1;1;2;1;2;2;2;2;141
1;1;2;2;1;2;1;2;2;142
1;1;2;1;1;2;2;2;2;143
0;0;0;0;1;0;0;0;1;0
0;0;0;0;1;0;0;1;1;1
0;0;0;0;1;1;0;1;1;2
1;0;0;0;1;1;0;1;1;3
1;0;0;0;2;1;0;1;1;4
1;0;0;1;2;1;0;1;1;5
1;0;0;2;2;1;0;1;1;6
1;0;0;2;3;1;0;1;1;7
2;0;0;2;3;1;0;1;1;8
2;0;0;2;3;1;0;2;1;9
2;0;1;2;3;1;0;2;1;10
2;0;1;2;3;1;1;2;1;11
2;0;1;1;4;1;1;2;1;12
2;0;1;1;3;2;1;2;1;13
2;0;2;0;3;2;1;2;1;14
2;0;2;1;2;2;1;2;1;15
2;0;2;0;3;2;1;2;1;16
2;0;1;0;3;2;2;2;1;17
2;0;1;0;2;2;2;3;1;18
2;1;1;0;2;1;2;3;1;19
2;1;2;0;2;1;2;2;1;20
1;1;2;0;2;1;2;3;1;21
1;2;1;0;2;1;2;3;1;22
1;2;1;0;2;2;2;2;1;23
2;2;0;0;2;2;2;2;1;24
2;2;1;0;2;2;2;1;1;25
2;2;1;0;3;2;2;0;1;26
2;3;1;0;2;2;2;0;1;27
2;3;1;1;1;2;2;0;1;28
1;3;2;1;1;2;2;0;1;29
1;3;2;2;0;2;2;0;1;30
2;2;2;2;0;2;2;0;1;31
2;3;2;1;0;2;2;0;1;32
2;3;1;1;0;2;3;0;1;33
2;3;2;1;0;2;2;0;1;34
3;3;2;1;0;2;1;0;1;35
2;3;2;1;0;2;1;1;1;36
2;2;2;2;0;2;1;1;1;37
1;2;2;2;0;2;2;1;1;38
1;2;2;2;0;1;2;2;1;39
2;2;2;2;0;0;2;2;1;40
1;2;2;2;1;0;2;2;1;41
0;2;2;2;2;0;2;2;1;42
0;2;2;3;1;0;2;2;1;43
0;3;2;2;1;0;2;2;1;44
0;3;2;1;1;0;2;3;1;45
1;3;2;1;0;0;2;3;1;46
1;3;3;1;0;0;2;2;1;47
1;2;4;1;0;0;2;2;1;48
1;1;4;1;1;0;2;2;1;49
1;1;3;1;2;0;2;2;1;50
1;1;2;2;2;0;2;2;1;51
1;1;2;2;1;1;2;2;1;52
1;1;2;1;2;1;2;2;1;53
1;1;2;1;1;1;2;3;1;54
1;1;1;2;1;1;2;3;1;55
1;1;1;1;1;1;2;4;1;56
1;2;1;1;1;1;2;3;1;57
1;2;1;0;1;1;2;4;1;58
1;2;1;1;1;1;2;3;1;59
1;2;1;1;1;1;3;2;1;60
1;3;1;0;1;1;3;2;1;61
1;3;1;0;1;1;2;3;1;62
1;3;1;0;2;1;1;3;1;63
1;4;1;0;2;1;1;2;1;64
1;3;1;1;2;1;1;2;1;65
1;4;1;0;2;1;1;2;1;66
1;3;1;0;3;1;1;2;1;67
1;2;2;0;3;1;1;2;1;68
2;2;2;0;3;1;1;1;1;69
3;2;1;0;3;1;1;1;1;70
2;2;2;0;3;1;1;1;1;71
3;2;2;0;2;1;1;1;1;72
3;1;2;0;2;2;1;1;1;73
2;1;2;0;3;2;1;1;1;74
1;1;3;0;3;2;1;1;1;75
1;2;2;0;3;2;1;1;1;76
1;2;2;0;2;2;1;2;1;77
1;1;2;1;2;2;1;2;1;78
1;1;1;1;2;2;1;3;1;79
1;1;1;1;2;3;1;2;1;80
1;1;1;1;3;3;1;1;1;81
1;1;1;1;3;2;2;1;1;82
1;1;2;1;3;1;2;1;1;83
1;1;1;1;3;1;3;1;1;84
1;1;2;1;2;1;3;1;1;85
